"Click to enlarge image","Натиснете за увеличение на изображението"
"Click to see more images","Натиснете за повече изображения"
"PDF Proof","PDF вариант"
"Update preview","Обнови изображението"
"Updating preview image","Изображението се обновява"
"Next page","Следваща страница"
"Show previews","Покажи изображенията"
"Hide previews","Скрий изображенията"
"Show all order previews","Покажете всички изображения"
"Hide all order previews","Скрийте всички изображения"
"Edit","Редактирай"
"Delete","Изтрий"
"Can't get preview image:","Невъзможен предварителен преглед на изображението:"
"There was an error in generating or receiving preview image.\nPlease try again.","Грешка при генерирането или получаването на изображението.\nМоля опитайте пак."
"Error was occurred while preparing preview image","Грешка при подготовката на изображението"
"Error was occurred while uploading image","Грешка при качването на изображението"
"Click to close","Затвори"
"Click to view in large size","Натиснете за голям размер"
"Click to delete","Изтрий"
"Click to edit","Натиснете за редакция"
"Can't delete image","Изображението не може да бъде изтрито"
"Delete this image","Изтрий това изображение"
"Name","Име"
"Created","Създаден"
"Fit in field","Събери в полето"
"Fit image in field","Събери изображението в полето"
"Rotate Image Right","Завърти изображението надясно"
"Rotate right","Завърти надясно"
"Rotate Image Left","Завърти изображението наляво"
"Rotate left","Завърти наляво"
"Crop Image","Обрязване на изображението"
"Crop","Обрязване"
"Undo all changes","Отмяна на измененията"
"Restore","Възстанови"
"Delete Image","Изтрий изображението"
"Personalize","Персонализирай"
"Please specify the product's required option(s) and/or personalize it","Укажете задължителните опции и/или ги персонализирайте"
"Pending Review","Очаква преглед"
"Share preview","Споделете изображение"
"Save","Запази"
"Reset","Отмени"
"ZetaPrints web-to-print options","ZetaPrints настройки"
"Customer's personal options for web-to-print extension.","Персонални настройки за интернет-към-печат."
"Update all previews first!","Първо обновете всички шаблони!"
"Update preview first!","Първо обновете шаблона!"
"Settings","Настройки"
"Enabled","Активиран"
"ZetaPrints URL","ZetaPrints URL"
"ZetaPrints API Key","ZetaPrints API ключ"
"Store","Магазин"
"Refresh All","Обнови всички"
"For Deleted Templates","При изтрит шаблон"
"File Uploading Limit","Лимит на размера на качване"
"Up/Down","Нагоре/Надолу"
"Collapse/Expand","Затвори/Отвори"
"Title","Заглавие"
"Upload","Качване"
"My images","Моите изображения"
"Stock images","Готови изображения"
"Color picker","Избор на цвят"
"Blank","Празен"
"Default","По подразбиране"
"Upload new image from your computer","Качи изображение от своя компютър"
"Choose file","Избери файл"
"Upload file","Качи файл"
"Click to enlarge","Натиснете за увеличение"
"Choose a color","Изберете цвят"
" and click Select to fill the place of the photo."," и натиснете Select, за да замените снимката."
"Click to show page","Натиснете за да се покаже страницата"
"Recommended size:","Препоръч. размер:"
"px","пикс"
